路感	弱	0.9995
画质	粗糙	0.9993
回馈	轻盈	0.9988
做工	糙	0.9987
回馈力	适中	0.9986
咆哮声	低沉	0.9986
速度	灵敏	0.9986
支撑性	硬	0.9985
回馈	扎实	0.9985
制动力	弱	0.9983
用料	硬	0.9982
油耗	一般	0.9982
响应性	高	0.9980
力度	扎实	0.9980
做工	讲究	0.9979
路感	精准	0.9979
力度	匀称	0.9979
力度	结实	0.9979
力道	逊	0.9979
声浪	动听	0.9979
握感	单薄	0.9978
成绩	出众	0.9978
总体	稳定	0.9978
触感	硬	0.9977
用料	扎实	0.9977
回馈	奇怪	0.9977
界面	整洁	0.9977
推背感	清晰	0.9976
质量	高	0.9976
制动力	稳定	0.9976
牵引力	强大	0.9976
轨迹	稳定	0.9976
用料	给力	0.9976
宽度	逊	0.9975
牵引力	强	0.9975
音响	差	0.9975
手感	单薄	0.9975
透气性	良好	0.9974
整体	稳定	0.9974
舒适感	差	0.9974
响应性	出色	0.9974
耐磨性	良好	0.9973
做工	粗糙	0.9973
品质	高	0.9973
效果	协调	0.9973
力度	弱	0.9973
爆发力	迅猛	0.9973
效果	优异	0.9972
牵引力	充沛	0.9972
咆哮声	悦耳	0.9972
油耗	精准	0.9971
噪音	嘈杂	0.9970
效果	奢华	0.9969
实用性	弱	0.9969
音效	一般	0.9969
动作	硬	0.9969
幅度	适中	0.9968
制动力	平稳	0.9968
循迹性	不俗	0.9968
用料	柔软	0.9967
类型	精准	0.9967
指向性	差	0.9967
性价比	优秀	0.9967
触感	灵敏	0.9967
稳定性	差	0.9967
力度	低	0.9967
空间感	不错	0.9967
做工	扎实	0.9966
车身	窄	0.9966
牵引力	出色	0.9966
内饰	耐看	0.9966
平稳性	差	0.9965
脚感	扎实	0.9965
力度	强劲	0.9965
牵引力	合适	0.9965
线条	朴素	0.9964
能力	逊	0.9964
路噪	大	0.9964
用料	厚实	0.9963
姿态	稳定	0.9963
机动性	灵活	0.9963
用料	普通	0.9963
手感	出色	0.9962
指向性	模糊	0.9962
侧倾	大	0.9962
状态	精准	0.9962
颠簸感	强	0.9962
效果	活泼	0.9961
声浪	低沉	0.9961
动作	迅猛	0.9961
画质	细腻	0.9961
循迹性	优秀	0.9961
回馈	积极	0.9961
动作	平稳	0.9961
驾乘感	良好	0.9960
能力	充沛	0.9960
力道	强劲	0.9960
外观	简约	0.9960
原创度	高	0.9960
制动力	及时	0.9960
路感	模糊	0.9960
力度	生硬	0.9959
噪音	低	0.9959
声线	动听	0.9958
软硬度	适中	0.9958
握感	硬	0.9958
加速性	平顺	0.9958
姿态	平稳	0.9958
手感	硬	0.9958
能力	平淡	0.9957
扩展性	不错	0.9957
姿态	柔和	0.9957
舒适性	优秀	0.9957
范围	低	0.9957
声效	迷人	0.9956
噪音	低沉	0.9956
电脑	先进	0.9956
噪声	低	0.9956
轰鸣声	浑厚	0.9956
效果	养眼	0.9955
做工	一般	0.9955
精准度	高	0.9955
回馈力	重	0.9955
回馈	平淡	0.9954
静音性	不错	0.9954
循迹性	出色	0.9954
长度	理想	0.9954
力度	自然	0.9954
回馈	明显	0.9954
清晰度	高	0.9954
轮胎	特殊	0.9952
成绩	弱	0.9952
推背感	猛烈	0.9952
透气性	差	0.9952
力度	一般	0.9952
包裹性	出色	0.9952
回馈感	强	0.9952
效果	稳健	0.9951
虚位	大	0.9951
音质	出色	0.9951
噪音	悦耳	0.9950
加速度	充足	0.9950
氛围	静谧	0.9950
随动性	灵活	0.9950
力度	重	0.9949
柔软度	不错	0.9949
利用率	低	0.9949
调校	优异	0.9949
路感	舒适	0.9949
总体	扎实	0.9949
制动力	充沛	0.9948
力度	给力	0.9948
范围	合理	0.9948
速度	稳定	0.9948
静谧性	良好	0.9948
体积	宽大	0.9948
材料	薄	0.9948
稳定性	逊	0.9947
声浪	躁动	0.9947
刹车	稳定	0.9947
成绩	稳定	0.9947
做工	精细	0.9947
力量	弱	0.9947
回馈力	轻	0.9947
车厢	安静	0.9946
声音	动听	0.9946
舒适性	差	0.9946
驾乘感	平稳	0.9946
声浪	悦耳	0.9946
韧性	差	0.9945
配色	老气	0.9945
设计感	清爽	0.9945
风噪	刺耳	0.9945
回馈	大	0.9944
舒适性	一般	0.9944
回馈力	明显	0.9944
线条	繁复	0.9944
加速度	不错	0.9944
材质	单薄	0.9943
保有量	低	0.9943
随动性	出色	0.9943
音效	出色	0.9943
回馈	准确	0.9943
包裹性	佳	0.9943
转向性	精确	0.9943
效果	精细	0.9943
离合点	低	0.9943
力度	柔和	0.9942
能力	强劲	0.9942
用料	厚道	0.9942
力度	轻柔	0.9942
循迹性	优异	0.9942
线条	清晰	0.9942
线条	浑厚	0.9942
手感	松垮	0.9942
指向性	迟缓	0.9942
指向性	精确	0.9942
加速性	良好	0.9942
整车	敦实	0.9941
扬声器	独立	0.9941
用料	讲究	0.9941
音质	棒	0.9941
动作	迅捷	0.9941
布局	考究	0.9941
用料	细腻	0.9941
做工	优异	0.9940
肌肉感	健硕	0.9940
腰线	俊朗	0.9940
声响	小	0.9940
可靠性	良好	0.9940
空间	寒酸	0.9940
做工	不错	0.9940
做工	用心	0.9940
握感	扎实	0.9939
灵敏度	快	0.9939
力度	轻盈	0.9939
质感	软	0.9939
循迹性	准确	0.9939
可控性	高	0.9939
包裹性	差	0.9939
功能性	单一	0.9939
圈数	大	0.9939
故障率	高	0.9939
承托性	良好	0.9938
路感	一般	0.9938
外观	刚毅	0.9938
跟随性	出色	0.9938
用料	一般	0.9938
精细度	高	0.9938
性能	得体	0.9938
加速感	平缓	0.9937
动力	孱弱	0.9937
空间	可靠	0.9937
制动力	不错	0.9937
性价比	低	0.9937
刹车	柔和	0.9937
轰鸣声	高亢	0.9936
车身	沉稳	0.9936
私密性	不错	0.9936
车身	稳定	0.9936
指向性	欠缺	0.9936
范围	不错	0.9936
稳定性	良好	0.9935
质感	清晰	0.9935
平顺性	优异	0.9935
手感	灵敏	0.9935
推力	强大	0.9935
回馈	不错	0.9935
阻尼	弱	0.9934
方向	精准	0.9934
速度	迟缓	0.9934
用料	薄	0.9934
内饰	差	0.9934
抓地力	充足	0.9933
身姿	矫健	0.9933
功率	弱	0.9933
阻尼感	轻	0.9933
制动力	充足	0.9933
引擎声	动听	0.9933
针对性	明确	0.9933
阻尼	细腻	0.9933
精确度	高	0.9933
循迹性	精准	0.9933
均衡性	优异	0.9933
外观	新鲜	0.9932
清晰度	不错	0.9932
底盘	低	0.9932
保有量	庞大	0.9932
动作	轻	0.9932
悬架	柔韧	0.9932
力度	轻巧	0.9932
车尾	高挑	0.9932
动作	柔和	0.9932
路感	清晰	0.9932
底盘	扎实	0.9931
用料	廉价	0.9931
花纹	细碎	0.9931
加速度	可观	0.9931
工艺	讲究	0.9931
动力	稳定	0.9931
制动力	强劲	0.9931
动作	轻盈	0.9931
颠簸感	明显	0.9930
车身	笨重	0.9930
指向性	清晰	0.9930
触感	软	0.9930
线条	平实	0.9930
跳动感	明显	0.9930
稳定性	出色	0.9930
力度	合理	0.9930
声浪	强悍	0.9930
状态	舒缓	0.9930
成绩	喜人	0.9930
精度	精准	0.9929
线条	简单	0.9929
气味	小	0.9929
做工	好	0.9929
精准度	一般	0.9929
车灯	硕大	0.9929
前脸	简洁	0.9929
安全性	优秀	0.9928
成绩	出彩	0.9928
配色	沉闷	0.9928
提速感	轻快	0.9928
操控	沉重	0.9927
摩擦力	低	0.9927
握感	优秀	0.9927
做工	优秀	0.9927
范围	理想	0.9927
握感	棒	0.9927
配置	均衡	0.9927
车灯	简单	0.9927
棱角	犀利	0.9927
循迹性	理想	0.9926
噪音	小	0.9926
效果	不俗	0.9926
幅度	惊人	0.9926
整体	平稳	0.9926
力道	生猛	0.9926
轨迹	准确	0.9926
手感	生硬	0.9926
轮圈	出众	0.9926
操控感	稳健	0.9926
外形	差	0.9926
声浪	美妙	0.9926
接缝	大	0.9925
反应	灵敏	0.9925
车厢	静谧	0.9925
回馈	细腻	0.9925
方向	轻便	0.9925
整体	稳健	0.9925
包裹性	良好	0.9924
灵敏度	好	0.9924
指向性	不错	0.9924
气质	干练	0.9924
力度	不错	0.9924
回馈	舒服	0.9924
形象	端庄	0.9923
油耗	高	0.9923
速度	迟钝	0.9923
结合点	低	0.9923
动力	急躁	0.9923
密封性	出色	0.9923
半径	大	0.9923
界面	绚丽	0.9923
加速度	平稳	0.9923
接缝	匀称	0.9922
柔软度	高	0.9922
抓地性	出色	0.9922
能力	可观	0.9922
圈数	小	0.9922
精准度	不错	0.9922
操控	轻便	0.9922
效果	通透	0.9922
发动机	扎实	0.9921
造型	耐看	0.9921
效果	整齐	0.9921
风噪	高	0.9921
效果	新颖	0.9921
手感	轻柔	0.9921
灵活性	优秀	0.9921
回馈	精准	0.9920
幅度	小	0.9920
按键	紧致	0.9920
尾灯	迷人	0.9920
腰线	飘逸	0.9920
回馈	敏感	0.9920
变速箱	优秀	0.9920
动力	逊	0.9920
状态	优雅	0.9919
储备	疲软	0.9919
噪音	安静	0.9919
姿态	良好	0.9919
阻尼感	均匀	0.9918
效果	舒服	0.9918
动力	狂暴	0.9918
胎噪	大	0.9918
方向	轻盈	0.9918
支撑性	差	0.9918
粗细	合手	0.9918
方向盘	轻盈	0.9918
推背感	出色	0.9918
效果	粗糙	0.9918
材质	厚	0.9917
造型	朴实	0.9917
声线	迷人	0.9917
容积	可观	0.9917
灵敏度	优秀	0.9917
音质	不错	0.9917
舒适度	高	0.9917
氛围	安逸	0.9917
噪声	刺耳	0.9917
声音	嘈杂	0.9917
刹车	硬	0.9916
准确性	高	0.9916
反应	缓慢	0.9916
界面	简洁	0.9916
韧性	细腻	0.9916
手感	轻快	0.9916
费用	高	0.9916
